date,count
2019-09-01,2834
2019-09-02,2859
2019-09-03,3364
2019-09-04,3519
2019-09-05,3370
2019-09-06,8017
2019-09-07,7766
2019-09-08,7386
2019-09-09,8680
2019-09-10,8199
2019-09-11,5094
2019-09-12,5671
2019-09-13,5680
2019-09-14,5731
2019-09-15,5591
2019-09-16,4505
2019-09-17,2878
2019-09-18,3235
2019-09-19,2761
2019-09-20,2513
2019-09-21,1401
2019-09-22,1767
2019-09-23,2625
2019-09-24,2469
2019-09-25,2284
2019-09-26,1739
2019-09-27,2863
2019-09-28,2979
2019-09-29,3816
2019-09-30,3874
2019-11-01,448
2019-11-02,565
2019-11-03,536
2019-11-04,891
2019-11-05,658
2019-11-06,959
2019-11-07,2644
2019-11-08,4095
2019-11-09,3140
2019-11-10,2605
2019-11-11,1337
2019-11-12,3342
2019-11-13,1856
2019-11-14,1812
2019-11-15,2627
2019-11-16,1643
2019-11-17,1665
2019-11-18,1863
2019-11-19,2423
2019-11-20,1405
2019-11-21,1761
2019-11-22,1551
2019-11-23,1092
2019-11-24,966
2019-11-25,1025
2019-11-26,924
2019-11-27,835
2019-11-28,850
2019-11-29,950
2019-11-30,670
2019-12-01,1141
2019-12-02,1894
2019-12-03,2387
2019-12-04,3145
2019-12-05,3486
2019-12-06,3787
2019-12-07,2746
2019-12-08,1898
2019-12-09,2945
2019-12-10,1586
2019-12-11,887
2019-12-12,843
2019-12-13,974
2019-12-14,2293
2019-12-15,2744
2019-12-16,2854
2019-12-17,2690
2019-12-18,4000
2019-12-19,4768
2019-12-20,3721
2019-12-21,4031
2019-12-22,1497
2019-12-23,1445
2019-12-24,1521
2019-12-25,2031
2019-12-26,2199
2019-12-27,1919
2019-12-28,2381
2019-12-29,3236
2019-12-30,6925
2019-12-31,3438
2020-01-01,3686
2020-01-02,4389
2020-01-03,4257
2020-01-04,7350
2020-01-05,913
2020-01-06,931
2020-01-07,1242
2020-01-08,1026
2020-01-09,773
2020-01-10,575
2020-01-11,1200
2020-01-12,963
2020-01-13,1973
2020-01-14,1030
2020-01-15,304
2020-01-16,250
2020-01-17,154
2020-01-18,178
2020-01-19,68
2020-01-20,74
2020-01-21,122
2020-01-22,167
2020-01-23,197
2020-01-24,177
2020-01-25,235
2020-01-26,468
2020-01-27,202
2020-01-28,411
2020-01-29,674
2020-01-30,867
2024-01-01,2141
2024-01-02,1741
2024-01-03,1207
2024-01-04,548
2024-01-05,365
2024-01-06,302
2024-01-07,177
2024-01-08,95
2024-01-09,305
2024-01-10,497
2024-01-11,166
2024-01-12,261
2024-01-13,251
2024-01-14,143
2024-01-15,168
2024-01-16,65
2024-01-17,160
2024-01-18,94
2024-01-19,78
2024-01-20,87
2024-01-21,31
2024-01-22,219
2024-01-23,168
2024-01-24,175
2024-01-25,157
2024-01-26,53
2024-01-27,34
2024-01-28,12
2024-01-29,65
2024-01-30,98
2024-01-31,28
2024-02-01,118
2024-02-02,127
2024-02-03,209
2024-02-04,122
2024-02-05,121
2024-02-06,161
2024-02-07,124
2024-02-08,292
2024-02-09,129
2024-02-10,148
2024-02-11,137
2024-02-12,76
2024-02-13,95
2024-02-14,49
2024-02-15,80
2024-02-16,74
2024-02-17,48
2024-02-18,37
2024-02-19,29
2024-02-20,51
2024-02-21,99
2024-02-22,254
2024-02-23,112
2024-02-24,56
2024-02-25,146
2024-02-26,87
2024-02-27,138
2024-02-28,123
2024-02-29,90
2024-03-01,108
2024-03-02,55
2024-03-03,115
2024-03-04,58
2024-03-05,107
2024-03-06,91
2024-03-07,112
2024-03-08,84
2024-03-09,45
2024-03-10,35
2024-03-11,71
2024-03-12,203
2024-03-13,171
2024-03-14,114
2024-03-15,126
2024-03-16,88
2024-03-17,61
2024-03-18,126
2024-03-19,133
2024-03-20,68
2024-03-21,187
2024-03-22,247
2024-03-23,71
2024-03-24,25
2024-03-25,179
2024-03-26,426
2024-03-27,542
2024-03-28,405
2024-03-29,232
2024-03-30,245
2024-03-31,180
2024-04-01,122
2024-04-02,136
2024-04-03,423
2024-04-04,347
2024-04-05,391
2024-04-06,302
2024-04-07,349
2024-04-08,327
2024-04-09,662
2024-04-10,808
2024-04-11,1092
2024-04-12,983
2024-04-13,667
2024-04-14,724
2024-04-15,1040
2024-04-16,836
2024-04-17,1004
2024-04-18,643
2024-04-19,797
2024-04-20,803
2024-04-21,596
2024-04-22,1201
2024-04-23,671
2024-04-24,628
2024-04-25,735
2024-04-26,839
2024-04-27,775
2024-04-28,704
2024-04-29,379
2024-04-30,512
2024-05-01,393
2024-05-02,765
2024-05-03,521
2024-05-04,379
2024-05-05,364
2024-05-06,502
2024-05-07,858
2024-05-08,886
2024-05-09,729
2024-05-10,796
2024-05-11,355
2024-05-12,472
2024-05-13,266
2024-05-14,1018
2024-05-15,779
2024-05-16,654
2024-05-17,820
2024-05-18,464
2024-05-19,914
2024-05-20,973
2024-05-21,1684
2024-05-22,1099
2024-05-23,492
2024-05-24,514
2024-05-25,266
2024-05-26,297
2024-05-27,184
2024-05-28,510
2024-05-29,502
2024-05-30,223
2024-05-31,235
2024-06-01,168
2024-06-02,260
2024-06-03,323
2024-06-04,227
2024-06-05,484
2024-06-06,399
2024-06-07,803
2024-06-08,468
2024-06-09,423
2024-06-10,395
2024-06-11,340
2024-06-12,794
2024-06-13,661
2024-06-14,773
2024-06-15,612
2024-06-16,424
2024-06-17,962
2024-06-18,658
2024-06-19,725
2024-06-20,660
2024-06-21,300
2024-06-22,895
2024-06-23,216
2024-06-24,591
2024-06-25,338
2024-06-26,279
2024-06-27,403
2024-06-28,161
2024-06-29,148
2024-06-30,108
2024-07-01,144
2024-07-02,321
2024-07-03,548
2024-07-04,1034
2024-07-05,234
2024-07-06,215
2024-07-07,183
2024-07-08,328
2024-07-09,544
2024-07-10,583
2024-07-11,691
2024-07-12,436
2024-07-13,473
2024-07-14,434
2024-07-15,495
2024-07-16,1060
2024-07-17,636
2024-07-18,1427
2024-07-19,550
2024-07-20,823
2024-07-21,799
2024-07-22,566
2024-07-23,771
2024-07-24,508
2024-07-25,417
2024-07-26,305
2024-07-27,245
2024-07-28,322
2024-07-29,221
2024-07-30,383
2024-07-31,504
2024-08-01,374
2024-08-02,456
2024-08-03,280
2024-08-04,265
2024-08-05,192
2024-08-06,221
2024-08-07,608
2024-08-08,208
2024-08-09,741
2024-08-10,374
2024-08-11,462
2024-08-12,618
2024-08-13,346
2024-08-14,851
2024-08-15,409
2024-08-16,681
2024-08-17,731
2024-08-18,824
2024-08-19,713
2024-08-20,572
2024-08-21,460
2024-08-22,474
2024-08-23,612
2024-08-24,442
2024-08-25,597
2024-08-26,482
2024-08-27,563
2024-08-28,607
2024-08-29,522
2024-08-30,785
2024-08-31,422
2024-09-01,439
2024-09-02,684
2024-09-03,612
2024-09-04,619
2024-09-05,432
2024-09-06,374
2024-09-07,427
2024-09-08,530
2024-09-09,610
2024-09-10,847
2024-09-11,506
2024-09-12,1020
2024-09-13,1054
2024-09-14,1261
2024-09-15,833
2024-09-16,449
2024-09-17,325
2024-09-18,322
2024-09-19,339
2024-09-20,553
2024-09-21,1416
2024-09-22,1155
2024-09-23,975
2024-09-24,751
2024-09-25,541
2024-09-26,200
2024-09-27,360
2024-09-28,271
2024-09-29,802
2024-09-30,977
2024-10-01,1089
2024-10-02,1376
2024-10-03,884
2024-10-04,1200
2024-10-05,705
2024-10-06,1325
2024-10-07,1599
2024-10-08,1082
2024-10-09,3422
2024-10-10,1870
2024-10-11,2110
2024-10-12,1493
2024-10-13,518
2024-10-14,917
2024-10-15,515
2024-10-16,903
2024-10-17,765
2024-10-18,596
2024-10-19,1142
2024-10-20,975
2024-10-21,2155
2024-10-22,2168
2024-10-23,1524
2024-10-24,3363
2024-10-25,1822
2024-10-26,2822
2024-10-27,1583
2024-10-28,1379
2024-10-29,2620
2024-10-30,1268
2024-10-31,1420
2024-11-01,1000
2024-11-02,1705
2024-11-03,3234
2024-11-04,2927
2024-11-05,3615
2024-11-06,2136
2024-11-07,3028
2024-11-08,2817
2024-11-09,1956
2024-11-10,2729
2024-11-11,1168
2024-11-12,2246
2024-11-13,2141
2024-11-14,1327
2024-11-15,1923
2024-11-16,665
2024-11-17,1625
2024-11-18,415
2024-11-19,955
2024-11-20,706
2024-11-21,283
2024-11-22,489
2024-11-23,360
2024-11-24,873
2024-11-25,864
2024-11-26,872
2024-11-27,822
2024-11-28,454
2024-11-29,189
2024-11-30,115
2024-12-01,125
2024-12-02,193
2024-12-03,85
2024-12-04,172
2024-12-05,143
2024-12-06,392
2024-12-07,329
2024-12-08,328
2024-12-09,1263
2024-12-10,564
2024-12-11,264
2024-12-12,201
2024-12-13,147
2024-12-14,511
2024-12-15,435
2024-12-16,430
2024-12-17,484
2024-12-18,267
2024-12-19,346
2024-12-20,371
2024-12-21,292
2024-12-22,311
2024-12-23,309
2024-12-24,666
2024-12-25,621
2024-12-26,401
2024-12-27,229
2024-12-28,260
2024-12-29,468
2024-12-30,378
2024-12-31,456
